seqNo,ticker,txDate,shortVol,totVol
469,COST,2012-11-12,51245,114210
470,COST,2012-11-13,74266,161024
471,COST,2012-11-14,111740,202405
472,COST,2012-11-15,141660,226776
473,COST,2012-11-16,146327,264426
474,COST,2012-11-19,133333,343325
475,COST,2012-11-20,77052,133894
476,COST,2012-11-21,24744,64148
477,COST,2012-11-23,18742,39007
478,COST,2012-11-26,56222,128716
479,COST,2012-11-27,107572,168880
480,COST,2012-11-28,330960,737721
481,COST,2012-11-29,164320,371696
482,COST,2012-11-30,189998,313040
483,COST,2012-12-03,221177,342746
484,COST,2012-12-04,126669,246072
485,COST,2012-12-05,203341,385408
486,COST,2012-12-06,253936,371131
487,COST,2012-12-07,161438,273848
488,COST,2012-12-10,106834,155195
489,COST,2012-12-11,148770,314718
490,COST,2012-12-12,215913,412636
491,COST,2012-12-13,85521,181663
492,COST,2012-12-14,75119,160524
493,COST,2012-12-17,114852,222100
494,COST,2012-12-18,112935,231201
495,COST,2012-12-19,107106,226279
496,COST,2012-12-20,92756,163001
497,COST,2012-12-21,166294,245811
498,COST,2012-12-24,81148,121036
499,COST,2012-12-26,116550,191311
500,COST,2012-12-27,136573,222388
501,COST,2012-12-28,89088,152207
502,COST,2012-12-31,186337,371030
503,COST,2013-01-02,203581,387321
504,COST,2013-01-03,262056,434378
505,COST,2013-01-04,130407,269959
506,COST,2013-01-07,115127,160230
507,COST,2013-01-08,125074,199410
508,COST,2013-01-09,100484,176998
509,COST,2013-01-10,131987,261428
510,COST,2013-01-11,86096,187050
511,COST,2013-01-14,73768,215086
512,COST,2013-01-15,85013,228881
513,COST,2013-01-16,40505,100032
514,COST,2013-01-17,109975,233408
515,COST,2013-01-18,69397,280836
516,COST,2013-01-22,66963,161158
517,COST,2013-01-23,85448,146341
518,COST,2013-01-24,72447,190072
519,COST,2013-01-25,79533,188401
520,COST,2013-01-28,69870,151920
521,COST,2013-01-29,127765,229206
522,COST,2013-01-30,110897,183381
523,COST,2013-01-31,86712,182903
524,COST,2013-02-01,114131,236316
525,COST,2013-02-04,148832,227011
526,COST,2013-02-05,100215,218595
527,COST,2013-02-06,142480,350693
528,COST,2013-02-07,241053,393205
529,COST,2013-02-08,66003,209918
530,COST,2013-02-11,85032,174727
531,COST,2013-02-12,59953,131180
532,COST,2013-02-13,53222,119207
533,COST,2013-02-14,84163,159086
534,COST,2013-02-15,233310,404898
535,COST,2013-02-19,105982,188154
536,COST,2013-02-20,87013,204536
537,COST,2013-02-21,123965,307246
538,COST,2013-02-22,63977,143610
539,COST,2013-02-25,133952,237082
540,COST,2013-02-26,210031,361435
541,COST,2013-02-27,152255,439310
542,COST,2013-02-28,101991,275816
543,COST,2013-03-01,126214,244630
544,COST,2013-03-04,133233,284654
545,COST,2013-03-05,114587,256089
546,COST,2013-03-06,57591,224406
547,COST,2013-03-07,123514,351298
548,COST,2013-03-08,84957,187456
549,COST,2013-03-11,70143,267378
550,COST,2013-03-12,105924,357896
551,COST,2013-03-13,69997,319537
552,COST,2013-03-14,64417,306370
553,COST,2013-03-15,43334,226635
554,COST,2013-03-18,129902,254741
555,COST,2013-03-19,138677,257063
556,COST,2013-03-20,118600,268298
557,COST,2013-03-21,115298,195054
558,COST,2013-03-22,86239,245121
559,COST,2013-03-25,152706,328660
560,COST,2013-03-26,83822,178921
561,COST,2013-03-27,138484,258096
562,COST,2013-03-28,59175,138698
563,COST,2013-04-01,56436,153049
564,COST,2013-04-02,110477,244549
565,COST,2013-04-03,95675,180858
566,COST,2013-04-04,93975,167293
567,COST,2013-04-05,73133,154823
568,COST,2013-04-08,38459,113353
569,COST,2013-04-09,86976,196014
570,COST,2013-04-10,80369,179742
571,COST,2013-04-11,59604,201586
572,COST,2013-04-12,79650,159590
573,COST,2013-04-15,107419,203528
574,COST,2013-04-16,163698,355894
575,COST,2013-04-17,174711,268603
576,COST,2013-04-18,165708,264424
577,COST,2013-04-19,149529,276913
578,COST,2013-04-22,102054,247161
579,COST,2013-04-23,71388,219035
580,COST,2013-04-24,130228,349585
581,COST,2013-04-25,121382,232622
582,COST,2013-04-26,120463,269325
583,COST,2013-04-29,78634,184397
584,COST,2013-04-30,60434,150293
585,COST,2013-05-01,40442,111703
586,COST,2013-05-02,47186,121451
587,COST,2013-05-03,39053,109465
588,COST,2013-05-06,41740,78615
589,COST,2013-05-07,61005,134187
590,COST,2013-05-08,51062,77154
591,COST,2013-05-09,56695,115494
592,COST,2013-05-10,51237,112070
593,COST,2013-05-13,84608,122919
594,COST,2013-05-14,94902,174223
595,COST,2013-05-15,111388,194116
596,COST,2013-05-16,56710,136185
597,COST,2013-05-17,77780,112193
598,COST,2013-05-20,61314,114565
599,COST,2013-05-21,53485,82832
600,COST,2013-05-22,77717,143321
601,COST,2013-05-23,99634,192787
602,COST,2013-05-24,96313,146550
603,COST,2013-05-28,92266,144761
604,COST,2013-05-29,42624,85867
605,COST,2013-05-30,170084,272456
606,COST,2013-05-31,96487,217602
607,COST,2013-06-03,82603,162655
608,COST,2013-06-04,107555,152292
609,COST,2013-06-05,119913,190082
610,COST,2013-06-06,146408,217126
611,COST,2013-06-07,93313,217820
612,COST,2013-06-10,75837,114571
613,COST,2013-06-11,59722,113755
614,COST,2013-06-12,71408,117549
615,COST,2013-06-13,75381,127757
616,COST,2013-06-14,69004,117165
617,COST,2013-06-17,101055,151869
618,COST,2013-06-18,49806,142880
619,COST,2013-06-19,89237,140639
620,COST,2013-06-20,150610,240293
621,COST,2013-06-21,100588,154334
622,COST,2013-06-24,112692,200266
623,COST,2013-06-25,81797,179871
624,COST,2013-06-26,60949,132547
625,COST,2013-06-27,39879,68169
626,COST,2013-06-28,76154,135394
627,COST,2013-07-01,41471,91781
628,COST,2013-07-02,68443,122380
629,COST,2013-07-03,41520,73272
630,COST,2013-07-05,46417,75423
631,COST,2013-07-08,41243,98656
632,COST,2013-07-09,41113,103395
633,COST,2013-07-10,50460,81155
634,COST,2013-07-11,75211,155402
635,COST,2013-07-12,101368,170644
636,COST,2013-07-15,59735,113293
637,COST,2013-07-16,73955,118481
638,COST,2013-07-17,121362,157221
639,COST,2013-07-18,59738,95752
640,COST,2013-07-19,80224,141368
641,COST,2013-07-22,54991,85507
642,COST,2013-07-23,70902,91415
643,COST,2013-07-24,61781,97994
644,COST,2013-07-25,49377,76711
645,COST,2013-07-26,51976,121397
646,COST,2013-07-29,40481,76826
647,COST,2013-07-30,39601,71186
648,COST,2013-07-31,65555,119985
649,COST,2013-08-01,36047,64216
650,COST,2013-08-02,76789,122310
651,COST,2013-08-05,67730,101023
652,COST,2013-08-06,39500,69651
653,COST,2013-08-07,38803,66745
654,COST,2013-08-08,99969,178753
655,COST,2013-08-09,51288,115855
656,COST,2013-08-12,37676,87180
657,COST,2013-08-13,31970,62860
658,COST,2013-08-14,41738,97497
659,COST,2013-08-15,51428,148757
660,COST,2013-08-16,56947,105899
661,COST,2013-08-19,73548,121756
662,COST,2013-08-20,37913,73531
663,COST,2013-08-21,46233,78892
664,COST,2013-08-22,19321,49981
665,COST,2013-08-23,61957,94841
666,COST,2013-08-26,37587,59918
667,COST,2013-08-27,60731,94244
668,COST,2013-08-28,53309,88732
669,COST,2013-08-29,92684,129018
670,COST,2013-08-30,87027,118635
671,COST,2013-09-03,81145,120884
672,COST,2013-09-04,56640,144324
673,COST,2013-09-05,188410,278671
674,COST,2013-09-06,149856,206944
675,COST,2013-09-09,103164,129874
676,COST,2013-09-10,98164,150108
677,COST,2013-09-11,115350,157818
678,COST,2013-09-12,73264,154983
679,COST,2013-09-13,87270,166042
680,COST,2013-09-16,79511,176604
681,COST,2013-09-17,58199,98646
682,COST,2013-09-18,91794,224717
683,COST,2013-09-19,57797,147481
684,COST,2013-09-20,57702,162672
685,COST,2013-09-23,56086,77504
686,COST,2013-09-24,47558,92346
687,COST,2013-09-25,48341,126040
688,COST,2013-09-26,31924,60418
689,COST,2013-09-27,20857,42401
690,COST,2013-09-30,59349,93466
691,COST,2013-10-01,40745,71504
692,COST,2013-10-02,33103,80838
693,COST,2013-10-03,40901,74630
694,COST,2013-10-04,18386,46923
695,COST,2013-10-07,24323,55229
696,COST,2013-10-08,44799,86983
697,COST,2013-10-09,182434,373641
698,COST,2013-10-10,77211,141091
699,COST,2013-10-11,42525,79858
700,COST,2013-10-14,33641,54861
701,COST,2013-10-15,53282,85775
702,COST,2013-10-16,68721,117889
703,COST,2013-10-17,38884,102064
704,COST,2013-10-18,49052,127901
705,COST,2013-10-21,28244,65366
706,COST,2013-10-22,34072,92058
707,COST,2013-10-23,28459,66547
708,COST,2013-10-24,35667,128234
709,COST,2013-10-25,23871,77575
