seqNo,ticker,txDate,shortVol,totVol
337,V,2012-05-03,271508,789221
338,V,2012-05-04,114026,317458
339,V,2012-05-07,85737,171956
340,V,2012-05-08,135234,248352
341,V,2012-05-09,129786,254882
342,V,2012-05-10,111907,224441
343,V,2012-05-11,89888,140641
344,V,2012-05-14,104160,199576
345,V,2012-05-15,87003,170172
346,V,2012-05-16,302280,447361
347,V,2012-05-17,210439,363347
348,V,2012-05-18,236938,456284
349,V,2012-05-21,113591,253098
350,V,2012-05-22,155914,274005
351,V,2012-05-23,146002,237086
352,V,2012-05-24,101237,190204
353,V,2012-05-25,86015,151606
354,V,2012-05-29,123302,201412
355,V,2012-05-30,99037,256572
356,V,2012-05-31,124351,359996
357,V,2012-06-01,196006,344652
358,V,2012-06-04,109471,188392
359,V,2012-06-05,90749,168351
360,V,2012-06-06,72357,171860
361,V,2012-06-07,62023,110669
362,V,2012-06-08,72338,148244
363,V,2012-06-11,104292,146347
364,V,2012-06-12,94510,163790
365,V,2012-06-13,120251,314211
366,V,2012-06-14,97108,277353
367,V,2012-06-15,109395,199033
368,V,2012-06-18,100852,208472
369,V,2012-06-19,82902,158197
370,V,2012-06-20,144305,214624
371,V,2012-06-21,109412,198626
372,V,2012-06-22,145137,252462
373,V,2012-06-25,109286,204635
374,V,2012-06-26,152347,232017
375,V,2012-06-27,96402,222015
376,V,2012-06-28,67767,188596
377,V,2012-06-29,83117,294190
378,V,2012-07-02,113585,288531
379,V,2012-07-03,36268,101511
380,V,2012-07-05,93618,168884
381,V,2012-07-06,101533,186494
382,V,2012-07-09,74810,188762
383,V,2012-07-10,119109,254112
384,V,2012-07-11,69494,292195
385,V,2012-07-12,148220,227291
386,V,2012-07-13,100285,181906
387,V,2012-07-16,196715,387761
388,V,2012-07-17,165110,240495
389,V,2012-07-18,103634,196510
390,V,2012-07-19,115800,199912
391,V,2012-07-20,150277,207685
392,V,2012-07-23,119879,196886
393,V,2012-07-24,114353,235958
394,V,2012-07-25,155532,338316
395,V,2012-07-26,119959,328355
396,V,2012-07-27,73990,174804
397,V,2012-07-30,93357,185107
398,V,2012-07-31,41148,98032
399,V,2012-08-01,81398,216962
400,V,2012-08-02,93460,172531
401,V,2012-08-03,81818,184275
402,V,2012-08-06,82025,135042
403,V,2012-08-07,56791,155396
404,V,2012-08-08,54461,122293
405,V,2012-08-09,79087,235202
406,V,2012-08-10,56600,80410
407,V,2012-08-13,41233,102462
408,V,2012-08-14,55608,94208
409,V,2012-08-15,45280,99620
410,V,2012-08-16,44060,132108
411,V,2012-08-17,61999,119949
412,V,2012-08-20,88081,142120
413,V,2012-08-21,46568,88096
414,V,2012-08-22,65348,117296
415,V,2012-08-23,62391,172944
416,V,2012-08-24,29658,119839
417,V,2012-08-27,38148,112047
418,V,2012-08-28,30273,75614
419,V,2012-08-29,56772,119090
420,V,2012-08-30,91967,132175
421,V,2012-08-31,149855,226444
422,V,2012-09-04,104018,157646
423,V,2012-09-05,114623,171888
424,V,2012-09-06,88003,208428
425,V,2012-09-07,76403,163572
426,V,2012-09-10,72477,190308
427,V,2012-09-11,113692,218888
428,V,2012-09-12,119548,195163
429,V,2012-09-13,162716,358455
430,V,2012-09-14,63941,223054
431,V,2012-09-17,54020,162771
432,V,2012-09-18,39681,252957
433,V,2012-09-19,91839,210825
434,V,2012-09-20,110686,230036
435,V,2012-09-21,136128,281173
436,V,2012-09-24,51015,124827
437,V,2012-09-25,110786,188285
438,V,2012-09-26,92206,188303
439,V,2012-09-27,35722,146508
440,V,2012-09-28,81845,139618
441,V,2012-10-01,81397,192322
442,V,2012-10-02,59672,128169
443,V,2012-10-03,61382,153975
444,V,2012-10-04,44025,101274
445,V,2012-10-05,71399,130764
446,V,2012-10-08,32610,83155
447,V,2012-10-09,52387,130761
448,V,2012-10-10,48094,77980
449,V,2012-10-11,76776,150365
450,V,2012-10-12,44398,73029
451,V,2012-10-15,53703,119503
452,V,2012-10-16,44360,91824
453,V,2012-10-17,49237,101146
454,V,2012-10-18,50544,103039
455,V,2012-10-19,67391,102730
456,V,2012-10-22,65182,158392
457,V,2012-10-23,75390,166042
458,V,2012-10-24,46264,133621
459,V,2012-10-25,61397,193258
460,V,2012-10-26,98439,170763
461,V,2012-10-31,94388,376721
462,V,2012-11-01,107217,230043
463,V,2012-11-02,145382,289821
464,V,2012-11-05,60252,140921
465,V,2012-11-06,44423,90076
466,V,2012-11-07,116168,163198
467,V,2012-11-08,127965,179843
468,V,2012-11-09,137430,219483
469,V,2012-11-12,111685,143160
470,V,2012-11-13,71903,179535
471,V,2012-11-14,101398,212173
472,V,2012-11-15,121138,227373
473,V,2012-11-16,121842,207514
474,V,2012-11-19,64640,150559
475,V,2012-11-20,61318,97542
476,V,2012-11-21,39933,74632
477,V,2012-11-23,32192,43820
478,V,2012-11-26,54880,101053
479,V,2012-11-27,81037,148493
480,V,2012-11-28,44243,106700
481,V,2012-11-29,56645,128837
482,V,2012-11-30,93744,195758
483,V,2012-12-03,72352,120433
484,V,2012-12-04,46214,91454
485,V,2012-12-05,62856,108230
486,V,2012-12-06,40682,101809
487,V,2012-12-07,30320,72065
488,V,2012-12-10,59282,124556
489,V,2012-12-11,89730,189453
490,V,2012-12-12,106397,285446
491,V,2012-12-13,42085,142782
492,V,2012-12-14,60310,123684
493,V,2012-12-17,51924,163072
494,V,2012-12-18,86453,211288
495,V,2012-12-19,40160,116245
496,V,2012-12-20,78120,121666
497,V,2012-12-21,53246,92444
498,V,2012-12-24,12636,26154
499,V,2012-12-26,59590,118680
500,V,2012-12-27,126947,309750
501,V,2012-12-28,58700,113137
502,V,2012-12-31,99999,195778
503,V,2013-01-02,136297,214379
504,V,2013-01-03,73493,165248
505,V,2013-01-04,39439,93079
506,V,2013-01-07,60246,113434
507,V,2013-01-08,124277,179703
508,V,2013-01-09,99962,182432
509,V,2013-01-10,66620,158905
510,V,2013-01-11,46313,101895
511,V,2013-01-14,26526,74087
512,V,2013-01-15,69055,119020
513,V,2013-01-16,48970,84767
514,V,2013-01-17,29425,99015
515,V,2013-01-18,65553,148140
516,V,2013-01-22,40681,111641
517,V,2013-01-23,36380,69806
518,V,2013-01-24,36986,86119
519,V,2013-01-25,38486,68172
520,V,2013-01-28,52804,176603
521,V,2013-01-29,66179,163664
522,V,2013-01-30,142993,353334
523,V,2013-01-31,111457,255823
524,V,2013-02-01,85588,213272
525,V,2013-02-04,50167,149461
526,V,2013-02-05,55287,156394
527,V,2013-02-06,73057,149492
528,V,2013-02-07,212801,336639
529,V,2013-02-08,66408,135445
530,V,2013-02-11,71551,135440
531,V,2013-02-12,78627,138793
532,V,2013-02-13,46742,126177
533,V,2013-02-14,38222,78281
534,V,2013-02-15,71720,119668
535,V,2013-02-19,52831,177896
536,V,2013-02-20,82034,241085
537,V,2013-02-21,81545,144534
538,V,2013-02-22,53430,116217
539,V,2013-02-25,72419,161093
540,V,2013-02-26,101718,155882
541,V,2013-02-27,93146,152967
542,V,2013-02-28,68816,136825
543,V,2013-03-01,85941,175827
544,V,2013-03-04,40074,91118
545,V,2013-03-05,35070,103051
546,V,2013-03-06,49060,114248
547,V,2013-03-07,55366,171045
548,V,2013-03-08,54642,129566
549,V,2013-03-11,43753,176365
550,V,2013-03-12,72346,141082
551,V,2013-03-13,97982,180357
552,V,2013-03-14,91610,159724
553,V,2013-03-15,102761,213478
554,V,2013-03-18,91514,170958
555,V,2013-03-19,73187,174141
556,V,2013-03-20,102420,217496
557,V,2013-03-21,36414,135918
558,V,2013-03-22,84211,253425
559,V,2013-03-25,137449,246485
560,V,2013-03-26,110259,231995
561,V,2013-03-27,113607,168900
562,V,2013-03-28,106444,192626
563,V,2013-04-01,95959,229551
564,V,2013-04-02,53394,103408
565,V,2013-04-03,69854,193380
566,V,2013-04-04,81691,164908
567,V,2013-04-05,47526,89249
568,V,2013-04-08,43664,76412
569,V,2013-04-09,22055,49900
570,V,2013-04-10,27794,70894
571,V,2013-04-11,27951,63322
572,V,2013-04-12,28908,57308
573,V,2013-04-15,38993,99968
574,V,2013-04-16,42186,81689
575,V,2013-04-17,51490,99982
576,V,2013-04-18,85910,161641
577,V,2013-04-19,54663,78605
578,V,2013-04-22,29892,56641
579,V,2013-04-23,38311,77054
580,V,2013-04-24,53517,88840
581,V,2013-04-25,59153,107282
582,V,2013-04-26,28666,71934
583,V,2013-04-29,30811,60394
584,V,2013-04-30,54679,103486
585,V,2013-05-01,50303,148452
586,V,2013-05-02,149782,314275
587,V,2013-05-03,53078,129127
588,V,2013-05-06,37687,104737
589,V,2013-05-07,86894,188463
590,V,2013-05-08,68256,165627
591,V,2013-05-09,78268,155182
592,V,2013-05-10,89621,156565
