seqNo,ticker,txDate,shortVol,totVol
558,MA,2013-03-22,11084,25802
559,MA,2013-03-25,14912,30559
560,MA,2013-03-26,26966,50966
561,MA,2013-03-27,17779,37523
562,MA,2013-03-28,13737,27024
563,MA,2013-04-01,13257,27973
564,MA,2013-04-02,13558,26143
565,MA,2013-04-03,20946,40488
566,MA,2013-04-04,18801,32396
567,MA,2013-04-05,44652,67454
568,MA,2013-04-08,39166,58968
569,MA,2013-04-09,37440,62708
570,MA,2013-04-10,25476,48946
571,MA,2013-04-11,13992,28845
572,MA,2013-04-12,23788,52096
573,MA,2013-04-15,29266,42591
574,MA,2013-04-16,28822,46283
575,MA,2013-04-17,79858,113184
576,MA,2013-04-18,48329,79296
577,MA,2013-04-19,11214,23499
578,MA,2013-04-22,32575,67073
579,MA,2013-04-23,21590,36677
580,MA,2013-04-24,5600,11144
581,MA,2013-04-25,13581,23269
582,MA,2013-04-26,29951,41092
583,MA,2013-04-29,28400,45539
584,MA,2013-04-30,22698,38321
585,MA,2013-05-01,27468,45494
586,MA,2013-05-02,30852,48367
587,MA,2013-05-03,36220,58223
588,MA,2013-05-06,24442,47849
589,MA,2013-05-07,20711,32383
590,MA,2013-05-08,18181,34153
591,MA,2013-05-09,19531,31117
592,MA,2013-05-10,19226,23630
593,MA,2013-05-13,8756,15560
594,MA,2013-05-14,29786,40727
595,MA,2013-05-15,27470,43965
596,MA,2013-05-16,7896,21263
597,MA,2013-05-17,22390,31930
598,MA,2013-05-20,15956,22342
599,MA,2013-05-21,17033,20683
600,MA,2013-05-22,18318,28118
601,MA,2013-05-23,20431,39933
602,MA,2013-05-24,17183,28790
603,MA,2013-05-28,16552,30249
604,MA,2013-05-29,15594,21594
605,MA,2013-05-30,22882,32731
606,MA,2013-05-31,21896,35637
607,MA,2013-06-03,20138,34167
608,MA,2013-06-04,25134,44412
609,MA,2013-06-05,28612,43680
610,MA,2013-06-06,15602,24969
611,MA,2013-06-07,15837,33790
612,MA,2013-06-10,7554,16382
613,MA,2013-06-11,16375,34481
614,MA,2013-06-12,13491,30898
615,MA,2013-06-13,23615,50369
616,MA,2013-06-14,24247,47447
617,MA,2013-06-17,20996,43031
618,MA,2013-06-18,31886,50765
619,MA,2013-06-19,36965,53395
620,MA,2013-06-20,58336,75194
621,MA,2013-06-21,54253,105572
622,MA,2013-06-24,52051,80367
623,MA,2013-06-25,28426,48207
624,MA,2013-06-26,21899,36699
625,MA,2013-06-27,37403,47750
